date,sales
2018-02-06,15480
2018-02-07,15182
2018-02-08,14980
2018-02-09,15690
2018-02-10,15519
2018-02-11,15077
2018-02-12,14992
2018-02-13,15353
2018-02-14,15354
2018-02-15,15172
2018-02-16,15133
2018-02-17,15502
2018-02-18,15244
2018-02-19,15412
2018-02-20,15470
2018-02-21,15369
2018-02-22,15183
2018-02-23,15269
2018-02-24,15393
2018-02-25,15423
2018-02-26,15339
2018-02-27,15416
2018-02-28,15445
2018-03-01,15406
2018-03-02,15505
2018-03-03,14937
2018-03-04,15417
2018-03-05,15629
2018-03-06,15502
2018-03-07,15593
2018-03-08,15483
2018-03-09,15329
2018-03-10,15301
2018-03-11,15253
2018-03-12,15184
2018-03-13,14974
2018-03-14,15189
2018-03-15,15242
2018-03-16,15470
2018-03-17,15462
2018-03-18,15388
2018-03-19,15254
2018-03-20,15591
2018-03-21,15265
2018-03-22,15260
2018-03-23,15389
2018-03-24,15574
2018-03-25,15645
2018-03-26,15432
2018-03-27,15376
2018-03-28,15308
2018-03-29,15513
2018-03-30,15197
2018-03-31,15524
2018-04-01,15213
2018-04-02,15337
2018-04-03,15548
2018-04-04,15505
2018-04-05,15340
2018-04-06,15401
2018-04-07,15297
2018-04-08,15309
2018-04-09,15237
2018-04-10,15665
2018-04-11,15415
2018-04-12,15285
2018-04-13,15590
2018-04-14,15326
2018-04-15,15440
2018-04-16,15395
2018-04-17,15268
2018-04-18,15320
2018-04-19,15426
2018-04-20,15279
2018-04-21,15358
2018-04-22,15283
2018-04-23,15331
2018-04-24,15323
2018-04-25,15375
2018-04-26,15482
2018-04-27,15559
2018-04-28,15351
2018-04-29,15434
2018-04-30,15207
2018-05-01,15483
2018-05-02,15311
2018-05-03,15369
2018-05-04,15333
2018-05-05,15485
2018-05-06,15316
2018-05-07,15752
2018-05-08,15503
2018-05-09,14938
2018-05-10,15563
2018-05-11,15333
2018-05-12,15424
2018-05-13,15328
2018-05-14,15311
2018-05-15,15440
2018-05-16,15426
2018-05-17,15503
2018-05-18,15165
2018-05-19,15537
2018-05-20,15427
2018-05-21,15165
2018-05-22,15375
2018-05-23,15556
2018-05-24,15262
2018-05-25,15263
2018-05-26,15304
2018-05-27,15380
2018-05-28,15200
2018-05-29,15494
2018-05-30,15349
2018-05-31,15292
2018-06-01,15664
2018-06-02,15540
2018-06-03,15230
2018-06-04,15257
2018-06-05,15336
2018-06-06,15385
2018-06-07,15242
2018-06-08,15304
2018-06-09,15617
2018-06-10,15216
2018-06-11,15480
2018-06-12,15628
2018-06-13,15643
2018-06-14,15564
2018-06-15,15710
2018-06-16,15296
2018-06-17,15408
2018-06-18,15139
2018-06-19,15353
2018-06-20,15450
2018-06-21,15173
2018-06-22,15604
2018-06-23,15408
2018-06-24,15305
2018-06-25,15527
2018-06-26,15207
2018-06-27,15555
2018-06-28,15536
2018-06-29,15677
2018-06-30,15032
2018-07-01,15345
2018-07-02,15221
2018-07-03,15479
2018-07-04,15697
2018-07-05,15207
2018-07-06,15301
2018-07-07,15831
2018-07-08,15220
2018-07-09,15451
2018-07-10,15651
2018-07-11,15371
2018-07-12,15148
2018-07-13,15525
2018-07-14,15249
2018-07-15,15519
2018-07-16,15641
2018-07-17,15329
2018-07-18,15439
2018-07-19,15281
2018-07-20,15528
2018-07-21,15262
2018-07-22,15210
2018-07-23,15481
2018-07-24,15512
2018-07-25,15523
2018-07-26,15265
2018-07-27,15383
2018-07-28,15162
2018-07-29,15605
2018-07-30,15421
2018-07-31,15562
2018-08-01,15270
2018-08-02,15374
2018-08-03,15251
2018-08-04,15528
2018-08-05,15367
2018-08-06,15277
2018-08-07,15139
2018-08-08,15287
2018-08-09,15465
2018-08-10,15380
2018-08-11,15565
2018-08-12,15285
2018-08-13,15291
2018-08-14,15499
2018-08-15,15204
2018-08-16,15539
2018-08-17,15475
2018-08-18,15462
2018-08-19,15447
2018-08-20,15473
2018-08-21,15767
2018-08-22,15715
2018-08-23,15242
2018-08-24,15591
2018-08-25,15350
2018-08-26,15180
2018-08-27,15060
2018-08-28,15633
2018-08-29,15351
2018-08-30,15347
2018-08-31,15338
2018-09-01,15429
2018-09-02,15185
2018-09-03,15541
2018-09-04,15608
2018-09-05,15474
2018-09-06,15571
2018-09-07,15505
2018-09-08,15551
2018-09-09,15465
2018-09-10,15656
2018-09-11,15306
2018-09-12,15572
2018-09-13,15193
2018-09-14,15651
2018-09-15,15371
2018-09-16,15646
2018-09-17,15488
2018-09-18,15326
2018-09-19,15575
2018-09-20,15401
2018-09-21,15131
2018-09-22,15387
2018-09-23,15536
2018-09-24,15464
2018-09-25,15282
2018-09-26,15471
2018-09-27,15322
2018-09-28,15476
2018-09-29,15268
2018-09-30,15450
2018-10-01,15380
2018-10-02,15422
2018-10-03,15346
2018-10-04,15498
2018-10-05,15487
2018-10-06,15522
2018-10-07,15399
2018-10-08,15505
2018-10-09,15249
2018-10-10,15128
2018-10-11,15694
2018-10-12,15374
2018-10-13,15707
2018-10-14,15343
2018-10-15,15506
2018-10-16,15696
2018-10-17,15229
2018-10-18,15349
2018-10-19,15160
2018-10-20,15135
2018-10-21,15495
2018-10-22,15019
2018-10-23,15594
2018-10-24,15406
2018-10-25,15313
2018-10-26,15346
2018-10-27,15218
2018-10-28,15477
2018-10-29,15524
2018-10-30,15403
2018-10-31,15246
2018-11-01,15395
2018-11-02,15655
2018-11-03,15269
2018-11-04,15357
2018-11-05,15494
2018-11-06,15301
2018-11-07,15397
2018-11-08,15617
2018-11-09,15355
2018-11-10,15517
2018-11-11,15352
2018-11-12,15251
2018-11-13,15482
2018-11-14,15240
2018-11-15,15155
2018-11-16,15448
2018-11-17,15301
2018-11-18,15273
2018-11-19,15498
2018-11-20,15258
2018-11-21,15306
2018-11-22,15782
2018-11-23,15359
2018-11-24,15182
2018-11-25,15506
2018-11-26,15289
2018-11-27,15646
2018-11-28,15371
2018-11-29,15240
2018-11-30,15340
2018-12-01,15145
2018-12-02,15139
2018-12-03,15370
2018-12-04,15368
2018-12-05,15406
2018-12-06,15580
2018-12-07,15565
2018-12-08,15641
2018-12-09,15533
2018-12-10,15437
2018-12-11,15264
2018-12-12,15552
2018-12-13,15570
2018-12-14,15406
2018-12-15,15399
2018-12-16,15339
2018-12-17,15472
2018-12-18,15299
2018-12-19,15469
2018-12-20,15409
2018-12-21,15410
2018-12-22,15298
2018-12-23,15630
2018-12-24,15281
2018-12-25,15396
2018-12-26,15020
2018-12-27,15551
2018-12-28,15438
2018-12-29,15441
2018-12-30,15644
2018-12-31,15086
2019-01-01,15042
2019-01-02,15525
2019-01-03,15275
2019-01-04,15523
2019-01-05,15523
2019-01-06,15459
2019-01-07,15645
2019-01-08,15294
2019-01-09,15338
2019-01-10,15253
2019-01-11,15433
2019-01-12,15473
2019-01-13,15196
2019-01-14,15551
2019-01-15,15376
2019-01-16,15304
2019-01-17,15411
2019-01-18,15457
2019-01-19,15310
2019-01-20,15245
2019-01-21,15156
2019-01-22,15732
2019-01-23,15264
2019-01-24,15407
2019-01-25,15240
2019-01-26,15455
2019-01-27,15349
2019-01-28,15512
2019-01-29,15272
2019-01-30,15697
2019-01-31,15471
2019-02-01,15148
2019-02-02,15501
2019-02-03,15429
2019-02-04,15501
2019-02-05,15234
2019-02-06,15379
2019-02-07,15264
2019-02-08,15370
2019-02-09,15301
2019-02-10,15229
2019-02-11,15390
2019-02-12,15493
2019-02-13,15330
2019-02-14,15259
2019-02-15,15608
2019-02-16,15488
2019-02-17,15370
2019-02-18,15476
2019-02-19,15488
2019-02-20,15756
2019-02-21,15537
2019-02-22,15430
2019-02-23,15230
2019-02-24,15605
2019-02-25,15735
2019-02-26,15374
2019-02-27,15355
2019-02-28,15209
2019-03-01,15427
2019-03-02,15621
2019-03-03,15564
2019-03-04,14998
2019-03-05,15235
2019-03-06,15472
2019-03-07,15251
2019-03-08,15318
2019-03-09,15396
2019-03-10,15325
2019-03-11,15638
2019-03-12,15351
2019-03-13,15524
2019-03-14,15380
2019-03-15,15456
2019-03-16,15457
2019-03-17,15675
2019-03-18,15602
2019-03-19,15136
2019-03-20,15156
2019-03-21,15659
2019-03-22,15350
2019-03-23,15797
2019-03-24,15618
2019-03-25,15339
2019-03-26,15383
2019-03-27,15476
2019-03-28,15323
2019-03-29,15355
2019-03-30,15462
2019-03-31,15186
2019-04-01,15579
2019-04-02,15204
2019-04-03,15454
2019-04-04,15235
2019-04-05,15346
2019-04-06,15491
2019-04-07,15481
2019-04-08,15300
2019-04-09,15575
2019-04-10,15078
2019-04-11,15496
2019-04-12,15304
2019-04-13,15217
2019-04-14,15537
2019-04-15,15395
2019-04-16,15586
2019-04-17,15447
2019-04-18,15369
2019-04-19,15483
2019-04-20,15524
2019-04-21,15100
2019-04-22,15494
2019-04-23,15168
2019-04-24,15553
2019-04-25,15415
2019-04-26,15165
2019-04-27,15630
2019-04-28,15111
2019-04-29,15721
2019-04-30,15333
2019-05-01,15800
2019-05-02,15377
2019-05-03,15342
2019-05-04,15557
2019-05-05,15425
2019-05-06,15333
2019-05-07,15215
2019-05-08,15474
2019-05-09,15365
2019-05-10,15284
2019-05-11,15015
2019-05-12,15421
2019-05-13,15499
2019-05-14,15260
2019-05-15,15220
